ORD.,SIGA,GRUPO,GRUPO MATERIAL/SERVIÇO,CLASSE,CLASSE MATERIAL/SERVIÇO,"Nº TOMBO
ANTERIOR",ORIGEM anterior,"Nº TOMBO
ATUAL",ORIGEM ATUAL,NED,NF,VALOR,DESCRIÇÃO DO MATERIAL ( SISTEMA),DESCRIÇÃO RESUMIDA,QUANTIDADE,SITUAÇÃO,GALPÃO,ESTOQUE,SAÍDA,SALDO
1,11703,75, ARTIGOS E UTENSÍLIOS DE ESCRITÓRIO,10, UTENSÍLIOS PARA ESCRITÓRIO,44654,STDS,,,,,,"QUADRO DE AVISO, FLANELÓGRAFO, PERFIL DE ALUMÍNIO, FIXAR NA PAREDE, DIMENSÕES: 1,20 X 0,90 M",FLANELÓGRAFO,1,BOM,SEAS,1,0,1
2,771388,72," ARTIGOS, UTENSILIOS, E UTILIDADES DE USO DOMESTICO E COMERCIAL",30,"RECIPIENTES E UTILIDADES DE USO DOMESTICO E COMERCIAL
",Ñ TOMBA,STDS,,,,,,"PA DE LIXO, COLETORA, CABO 1 MT, TAMPA, RODAS PARTE INFERIOR, AVULSO 1.0 UNIDADE",PÁ COLETORA,20,BOM,SEAS,1,0,1
3,689386,72," ARTIGOS, UTENSÍLIOS, E UTILIDADES DE USO DOMESTICO E COMERCIAL ",10,"GUARNIÇÕES DE CAMA, MESA E ARTIGOS DE PANO ",Ñ TOMBA,STDS,,,,,,"TOALHA, MESA QUADRADA, TECIDO 52% ALGODÃO, 48% POLIÉSTER, 04 LUGARES, 1,60 X 1,60 CM, UNIDADE 1.0 UNIDADE",TOALHA DE MESA QUADRADA,27,BOM,SEAS,27,0,27
4,122610,72," ARTIGOS, UTENSÍLIOS, E UTILIDADES DE USO DOMESTICO E COMERCIAL ",10,"GUARNIÇÕES DE CAMA, MESA E ARTIGOS DE PANO ",Ñ TOMBA,STDS,,,,,,"LENÇOL, COM ELÁSTICO, TECIDO 100% ALGODÃO, SOLTEIRO, 140 X 220 CM, EMBALAGEM",LENÇOL COM ELÁSTICO,698,BOM,SEAS,698,190,508
5,86088,72," ARTIGOS, UTENSÍLIOS, E UTILIDADES DE USO DOMESTICO E COMERCIAL ",10,"GUARNIÇÕES DE CAMA, MESA E ARTIGOS DE PANO ",Ñ TOMBA,STDS,,,,,,"LENÇOL, SEM ELÁSTICO, TECIDO 100% ALGODÃO, SOLTEIRO, 140 X 220 CM, EMBALAGEM",LENÇOL SEM ELÁSTICO,600,BOM,SEAS,600,190,410
6,29700,59, COMPONENTES DE EQUIPAMENTOS ELÉTRICOS E ELETRÔNICOS,65,"FONES, MICROFONES E ALTO-FALANTES",39985,STDS,,,,,,"MICROFONE, DE MÃO, SEM FIO, UHF, FAIXA PORTADORA DE FREQUÊNCIA RF(A: 518-554 MHZ, B: 626-662 MHZ, C: 740-776 MHZ, D: 786-822 MHZ, E: 830-886 MHZ), RESPOSTA TOTAL DE FREQUÊNCIA DE 40HZ-18KHZ, RECEPTOR DIVERSIDADE REAL EM 100G2,SAÍDA XLR E FONE DE 1/4”,NÍVEL MÁXIMO SAÍDA +10 DBU BALANCEADA E +4 DBU NÃO BALANCEADA,TRANSMISSOR DE MÃO SKM100,CONTROLE DE NÍVEL DE ENTRADA DE MICROFONE VARIÁVEL",MICROFONE SEM FIO,1,BOM,SEAS,1,1,0
7,984573,67," EQUIPAMENTOS DE COMUNICAÇÃO, DETECÇÃO E RADIAÇÃO",30,EQUIPAMENTOS DE PROJECAO,22,STDS,,,3093,,"R$ 159,00","APARELHO DVD, PLAYER COMPACTO COM PORTA USB, MICROFONE, AUDIO REPFING, E KARAOKE, MP3, BIVOLT",APARELHO DVD,1,BOM,SEAS,1,1,0
8,984573,67," EQUIPAMENTOS DE COMUNICAÇÃO, DETECÇÃO E RADIAÇÃO",30,EQUIPAMENTOS DE PROJECAO,44522,STDS,,,3093,,"R$ 159,00","APARELHO DVD, PLAYER COMPACTO COM PORTA USB, MICROFONE, AUDIO REPFING, E KARAOKE, MP3, BIVOLT",APARELHO DVD,1,BOM,SEAS,1,0,1
9,984573,67," EQUIPAMENTOS DE COMUNICAÇÃO, DETECÇÃO E RADIAÇÃO",30,EQUIPAMENTOS DE PROJECAO,44517,STDS,,,3093,,"R$ 159,00","APARELHO DVD, PLAYER COMPACTO COM PORTA USB, MICROFONE, AUDIO REPFING, E KARAOKE, MP3, BIVOLT",APARELHO DVD,1,BOM,SEAS,1,0,1
10,984573,67," EQUIPAMENTOS DE COMUNICAÇÃO, DETECÇÃO E RADIAÇÃO",30,EQUIPAMENTOS DE PROJECAO,44519,STDS,,,3093,,"R$ 159,00","APARELHO DVD, PLAYER COMPACTO COM PORTA USB, MICROFONE, AUDIO REPFING, E KARAOKE, MP3, BIVOLT",APARELHO DVD,1,BOM,SEAS,1,1,0
